id,status,pred_label,confidence,stage,filter_score
4247131981782506368,ANOMALY,None,0.0,Filter,0.007581
2200589479811686016,ANOMALY,None,0.0,Filter,0.011906
2019754073728068736,ANOMALY,None,0.0,Filter,0.010017
6054198377360250496,ANOMALY,None,0.0,Filter,0.009286
1820823283195997696,ANOMALY,None,0.0,Filter,0.011779
5538684894585331456,ANOMALY,None,0.0,Filter,0.02007
457952919462825728,ANOMALY,None,0.0,Filter,0.013449
5640022139673977728,ANOMALY,None,0.0,Filter,0.020368
5970937687517153792,ANOMALY,None,0.0,Filter,0.010074
6125478101245214080,ANOMALY,None,0.0,Filter,0.003558
5877787852692483584,ANOMALY,None,0.0,Filter,0.022543
5994203559725080448,ANOMALY,None,0.0,Filter,0.01385
5886342912154553856,ANOMALY,None,0.0,Filter,0.007951
4052944033538016256,ANOMALY,None,0.0,Filter,0.002512
4265569176902690176,ANOMALY,None,0.0,Filter,0.021326
6008533082442531712,ANOMALY,None,0.0,Filter,0.002988
4295398343238373760,ANOMALY,None,0.0,Filter,0.016036
4066198341176466048,ANOMALY,None,0.0,Filter,0.027812
5826936230222645760,ANOMALY,None,0.0,Filter,0.012413
4251506423234621952,ANOMALY,None,0.0,Filter,0.024031
1992958150696605056,ANOMALY,None,0.0,Filter,0.01045
5977386563817761408,ANOMALY,None,0.0,Filter,0.015586
5930893645861934208,ANOMALY,None,0.0,Filter,0.010295
5190584834690466560,ANOMALY,None,0.0,Filter,0.010029
5961601768759142144,ANOMALY,None,0.0,Filter,0.00819
4092146948735723520,ANOMALY,None,0.0,Filter,0.004961
4314129073629159424,ANOMALY,None,0.0,Filter,0.015762
4070417369178779776,ANOMALY,None,0.0,Filter,0.009057
2025716553473398528,ANOMALY,None,0.0,Filter,0.035757
5868006425474240896,ANOMALY,None,0.0,Filter,0.015975
5235896984486656256,ANOMALY,None,0.0,Filter,0.010575
5977416113105909376,ANOMALY,None,0.0,Filter,0.023912
2023859100388955520,ANOMALY,None,0.0,Filter,0.004072
5853567776223718144,ANOMALY,None,0.0,Filter,0.008075
5849451548278967680,ANOMALY,None,0.0,Filter,0.011447
2082167919965690240,ANOMALY,None,0.0,Filter,0.022338
2060709644880228480,ANOMALY,None,0.0,Filter,0.019701
4209624410339356672,ANOMALY,None,0.0,Filter,0.040466
5836357326973899904,ANOMALY,None,0.0,Filter,0.027278
4118800592442474368,ANOMALY,None,0.0,Filter,0.003589
4268094102267793024,ANOMALY,None,0.0,Filter,0.008035
2061244900882007296,ANOMALY,None,0.0,Filter,0.018447
4043861380362349824,ANOMALY,None,0.0,Filter,0.008982
5630242499134996352,ANOMALY,None,0.0,Filter,0.012292
5870743659703517056,ANOMALY,None,0.0,Filter,0.003214
4155153985828014720,ANOMALY,None,0.0,Filter,0.003915
1864327865915688448,ANOMALY,None,0.0,Filter,0.007282
5334766341394937984,ANOMALY,None,0.0,Filter,0.006908
5830350385575852672,ANOMALY,None,0.0,Filter,0.006814
5697323256878528640,ANOMALY,None,0.0,Filter,0.009792
2171652322334830208,ANOMALY,None,0.0,Filter,0.003155
424557693308101504,ANOMALY,None,0.0,Filter,0.008669
6054807231908925312,ANOMALY,None,0.0,Filter,0.017402
2033729588063108352,ANOMALY,None,0.0,Filter,0.012913
5854134501448263424,ANOMALY,None,0.0,Filter,0.015041
4322789686130060032,ANOMALY,None,0.0,Filter,0.003954
2954291369068610048,ANOMALY,None,0.0,Filter,0.032253
5254307069735784576,ANOMALY,None,0.0,Filter,0.024511
4251452890774531840,ANOMALY,None,0.0,Filter,0.006476
6055198211366324352,ANOMALY,None,0.0,Filter,0.021453
4038909046706999552,ANOMALY,None,0.0,Filter,0.001325
5862647096561652480,ANOMALY,None,0.0,Filter,0.02118
4108041768103719936,ANOMALY,None,0.0,Filter,0.011362
5887628069435736320,ANOMALY,None,0.0,Filter,0.022847
5847572070568924800,ANOMALY,None,0.0,Filter,0.003753
5896954092706088448,ANOMALY,None,0.0,Filter,0.00462
4256212126765356544,ANOMALY,None,0.0,Filter,0.012031
5882219537413632768,ANOMALY,None,0.0,Filter,0.012755
5853214764317782400,ANOMALY,None,0.0,Filter,0.01918
4251663481584711936,ANOMALY,None,0.0,Filter,0.00232
4203343828168165760,ANOMALY,None,0.0,Filter,0.001081
1975259277658398080,ANOMALY,None,0.0,Filter,0.004686
4124096012249130368,ANOMALY,None,0.0,Filter,0.002374
4122657610438014208,ANOMALY,None,0.0,Filter,0.005215
2022839406404269184,ANOMALY,None,0.0,Filter,0.009866
5337376478927743616,ANOMALY,None,0.0,Filter,0.017638
5432797281961934080,ANOMALY,None,0.0,Filter,0.011971
5364125466482208768,ANOMALY,None,0.0,Filter,0.008031
4125123162211797504,ANOMALY,None,0.0,Filter,0.018919
4657140756914527488,ANOMALY,None,0.0,Filter,0.00395
4306451802328672256,ANOMALY,None,0.0,Filter,0.015743
1827470208950701568,ANOMALY,None,0.0,Filter,0.006317
5969547629939078912,ANOMALY,None,0.0,Filter,0.024347
5865937316386492928,ANOMALY,None,0.0,Filter,0.01003
3512971162920358144,ANOMALY,None,0.0,Filter,0.022697
5824801597108360704,ANOMALY,None,0.0,Filter,0.013457
4514785616306859392,ANOMALY,None,0.0,Filter,0.010327
5891510891717577728,ANOMALY,None,0.0,Filter,0.002769
4321403305079585664,ANOMALY,None,0.0,Filter,0.009125
4053874980625231360,ANOMALY,None,0.0,Filter,0.005378
4313561485058196480,ANOMALY,None,0.0,Filter,0.002882
6062053391495311872,ANOMALY,None,0.0,Filter,0.006683
4470517903773027456,ANOMALY,None,0.0,Filter,0.028522
5846941397563099136,ANOMALY,None,0.0,Filter,0.012569
5237590679084227200,ANOMALY,None,0.0,Filter,0.018373
4042274166495336064,ANOMALY,None,0.0,Filter,0.03377
5950454026421727744,ANOMALY,None,0.0,Filter,0.013655
4293950733092293376,ANOMALY,None,0.0,Filter,0.005986
5848733567182929024,ANOMALY,None,0.0,Filter,0.003857
5852365391587701632,ANOMALY,None,0.0,Filter,0.005217
6053621541745024896,ANOMALY,None,0.0,Filter,0.003233
2059102743015884928,ANOMALY,None,0.0,Filter,0.032854
5881278733423038848,ANOMALY,None,0.0,Filter,0.020284
2021478107987157760,ANOMALY,None,0.0,Filter,0.013489
4515632515140457216,ANOMALY,None,0.0,Filter,0.008477
4091492949830511872,ANOMALY,None,0.0,Filter,0.006451
5862003641710832384,ANOMALY,None,0.0,Filter,0.019958
4479096293509490432,ANOMALY,None,0.0,Filter,0.031439
5931877296453806336,ANOMALY,None,0.0,Filter,0.012842
5864236028342243968,ANOMALY,None,0.0,Filter,0.007066
4053376008491788032,ANOMALY,None,0.0,Filter,0.005566
5858045777895422976,ANOMALY,None,0.0,Filter,0.025673
5957746502946031744,ANOMALY,None,0.0,Filter,0.017259
4055489231077610112,ANOMALY,None,0.0,Filter,0.020329
4629932177671125760,ANOMALY,None,0.0,Filter,0.005607
5882428856941867904,ANOMALY,None,0.0,Filter,0.009203
