id,status,pred_label,confidence,stage,filter_score
6022576663445996160,ANOMALY,None,0.0,Filter,0.003438
4108918078816758016,ANOMALY,None,0.0,Filter,0.002839
4035786841695399680,ANOMALY,None,0.0,Filter,0.010322
5337060742972385920,ANOMALY,None,0.0,Filter,0.002486
4291151582641775360,ANOMALY,None,0.0,Filter,0.016011
4039520890690481664,ANOMALY,None,0.0,Filter,0.010725
6734555758639742336,ANOMALY,None,0.0,Filter,0.004074
6026452476327924608,ANOMALY,None,0.0,Filter,0.002985
4657208617317599616,ANOMALY,None,0.0,Filter,0.014055
5993453864581515904,ANOMALY,None,0.0,Filter,0.01989
4042018774982784384,ANOMALY,None,0.0,Filter,0.002937
4047741183154618624,ANOMALY,None,0.0,Filter,0.002716
5889633235060437888,ANOMALY,None,0.0,Filter,0.01895
2046023365003386624,ANOMALY,None,0.0,Filter,0.011506
328291567645428352,ANOMALY,None,0.0,Filter,0.012419
4046026116833202432,ANOMALY,None,0.0,Filter,0.009678
5861332389881048960,ANOMALY,None,0.0,Filter,0.000768
4517251305479677952,ANOMALY,None,0.0,Filter,0.008773
3003408340185174784,ANOMALY,None,0.0,Filter,0.003968
4241536704550998144,ANOMALY,None,0.0,Filter,0.016191
4052653453357157504,ANOMALY,None,0.0,Filter,0.022524
6136708646154232064,ANOMALY,None,0.0,Filter,0.002608
4123708949755984256,ANOMALY,None,0.0,Filter,0.002512
5834823714334365440,ANOMALY,None,0.0,Filter,0.003548
5871448137358947968,ANOMALY,None,0.0,Filter,0.00457
4121830296718600704,ANOMALY,None,0.0,Filter,0.003543
4318562270135909632,ANOMALY,None,0.0,Filter,0.000793
4479136356966606080,ANOMALY,None,0.0,Filter,0.00247
5612757206245260800,ANOMALY,None,0.0,Filter,0.026388
6057192588057547648,ANOMALY,None,0.0,Filter,0.010035
5899939576030507520,ANOMALY,None,0.0,Filter,0.366609
4127618877491886208,ANOMALY,None,0.0,Filter,0.00595
4197642516735709952,ANOMALY,None,0.0,Filter,0.003212
2023911361548617728,ANOMALY,None,0.0,Filter,0.009852
5960727038481099520,ANOMALY,None,0.0,Filter,0.003524
4049310117648339840,ANOMALY,None,0.0,Filter,0.00466
4065530834601506560,ANOMALY,None,0.0,Filter,0.001229
5335632790911236480,ANOMALY,None,0.0,Filter,0.001648
2025181881603824896,ANOMALY,None,0.0,Filter,0.023502
5408598306643361792,ANOMALY,None,0.0,Filter,0.009538
4505878747510307328,ANOMALY,None,0.0,Filter,0.020893
4093501688907169920,ANOMALY,None,0.0,Filter,0.011653
5826084967689719040,ANOMALY,None,0.0,Filter,0.002101
4252028038466742400,ANOMALY,None,0.0,Filter,0.002356
5832930870662346112,ANOMALY,None,0.0,Filter,0.003624
4185931721478213504,ANOMALY,None,0.0,Filter,0.022478
1807098560558964992,ANOMALY,None,0.0,Filter,0.027754
4076917858009643392,ANOMALY,None,0.0,Filter,0.005392
5978041013705887360,ANOMALY,None,0.0,Filter,0.06038
5238288765870290432,ANOMALY,None,0.0,Filter,0.009942
1749393613353191936,ANOMALY,None,0.0,Filter,0.01651
4100996784697142272,ANOMALY,None,0.0,Filter,0.014468
5954327708972071808,ANOMALY,None,0.0,Filter,0.003412
4049175908376697472,ANOMALY,None,0.0,Filter,0.002943
4078923882639085056,ANOMALY,None,0.0,Filter,0.00152
4059121197228187008,ANOMALY,None,0.0,Filter,0.028543
541616064886195072,ANOMALY,None,0.0,Filter,0.004776
3029475905457968384,ANOMALY,None,0.0,Filter,0.028863
5978408525530361984,ANOMALY,None,0.0,Filter,0.020749
5241147221239739648,ANOMALY,None,0.0,Filter,0.002383
4111707436701147136,ANOMALY,None,0.0,Filter,0.019204
5955666192606834176,ANOMALY,None,0.0,Filter,0.017727
4173469891061721344,ANOMALY,None,0.0,Filter,0.015948
4047483278882204672,ANOMALY,None,0.0,Filter,0.018383
2033327853999591808,ANOMALY,None,0.0,Filter,0.011996
4085270607324300160,ANOMALY,None,0.0,Filter,0.007494
4108438416937093248,ANOMALY,None,0.0,Filter,0.019986
5279617861765806208,ANOMALY,None,0.0,Filter,0.00319
1838136158901027968,ANOMALY,None,0.0,Filter,0.00393
5329372961944916864,ANOMALY,None,0.0,Filter,0.00295
5904334324003649536,ANOMALY,None,0.0,Filter,0.006347
5935940232416262400,ANOMALY,None,0.0,Filter,0.009606
4177696688618499584,ANOMALY,None,0.0,Filter,0.008137
4685671576065285248,ANOMALY,None,0.0,Filter,0.003181
5895291802977818112,ANOMALY,None,0.0,Filter,0.003843
5963765710659760896,ANOMALY,None,0.0,Filter,0.015282
4051367368256587392,ANOMALY,None,0.0,Filter,0.009136
4304620909309878272,ANOMALY,None,0.0,Filter,0.01167
1967739030443939712,ANOMALY,None,0.0,Filter,0.007883
5831388324601827584,ANOMALY,None,0.0,Filter,0.004371
5593294162500329856,ANOMALY,None,0.0,Filter,0.006862
5306625612576581248,ANOMALY,None,0.0,Filter,0.017153
5858060380701126784,ANOMALY,None,0.0,Filter,0.010573
2021531674795833856,ANOMALY,None,0.0,Filter,0.011402
4145381354776874624,ANOMALY,None,0.0,Filter,0.003367
4087601949929634432,ANOMALY,None,0.0,Filter,0.014469
6729929361572794112,ANOMALY,None,0.0,Filter,0.004502
4048282589523971584,ANOMALY,None,0.0,Filter,0.001665
4284790736071472000,ANOMALY,None,0.0,Filter,0.001633
4304599640671085952,ANOMALY,None,0.0,Filter,0.402574
5799576429504720896,ANOMALY,None,0.0,Filter,0.012981
5344997743747766656,ANOMALY,None,0.0,Filter,0.023862
4108128045308239360,ANOMALY,None,0.0,Filter,0.011855
5520695063291069440,ANOMALY,None,0.0,Filter,0.002548
5867357851021568512,ANOMALY,None,0.0,Filter,0.013928
5341414847649668224,ANOMALY,None,0.0,Filter,0.027446
5280195032350964480,ANOMALY,None,0.0,Filter,0.010548
4049725870286290048,ANOMALY,None,0.0,Filter,0.010961
4552139256103400960,ANOMALY,None,0.0,Filter,0.013241
5853192430484655872,ANOMALY,None,0.0,Filter,0.017963
5846026225937763968,ANOMALY,None,0.0,Filter,0.013257
4123835256152640512,ANOMALY,None,0.0,Filter,0.015004
4466421497110556416,ANOMALY,None,0.0,Filter,0.013574
5815704821969501696,ANOMALY,None,0.0,Filter,0.002566
4050621147645921152,ANOMALY,None,0.0,Filter,0.002654
5253077643981221888,ANOMALY,None,0.0,Filter,0.021456
6130379689731123712,ANOMALY,None,0.0,Filter,0.008178
2028741584820205184,ANOMALY,None,0.0,Filter,0.002995
5924780120661590272,ANOMALY,None,0.0,Filter,0.011137
5860777720627371648,ANOMALY,None,0.0,Filter,0.021837
5235755388000591488,ANOMALY,None,0.0,Filter,0.010889
5902180621254863744,ANOMALY,None,0.0,Filter,0.002807
4685845741311313664,ANOMALY,None,0.0,Filter,0.010057
5545861303906932224,ANOMALY,None,0.0,Filter,0.002302
1866713359473286400,ANOMALY,None,0.0,Filter,0.024218
3044532583331786240,ANOMALY,None,0.0,Filter,0.006852
5337726639008791808,ANOMALY,None,0.0,Filter,5.202622
5616515955470824704,ANOMALY,None,0.0,Filter,0.002484
5933544740279689216,ANOMALY,None,0.0,Filter,0.012633
5310181089562373760,ANOMALY,None,0.0,Filter,0.010078
2185206487499981568,ANOMALY,None,0.0,Filter,0.013178
5958966376713478400,ANOMALY,None,0.0,Filter,0.002821
4311504397566444032,ANOMALY,None,0.0,Filter,0.002037
5898761827255655168,ANOMALY,None,0.0,Filter,0.002499
5848930757734944256,ANOMALY,None,0.0,Filter,0.010462
5834778703052084608,ANOMALY,None,0.0,Filter,0.002596
4661956965659228672,ANOMALY,None,0.0,Filter,0.022461
5254041743838386048,ANOMALY,None,0.0,Filter,0.004049
5870207029268605568,ANOMALY,None,0.0,Filter,0.020357
1735486818483694976,ANOMALY,None,0.0,Filter,0.00879
2056808062229127040,ANOMALY,None,0.0,Filter,0.003621
4258310922660302080,ANOMALY,None,0.0,Filter,0.044173
6053257916961322112,ANOMALY,None,0.0,Filter,0.018167
4040668024977163008,ANOMALY,None,0.0,Filter,0.002283
1966832276943985280,ANOMALY,None,0.0,Filter,0.015156
4042530357161597312,ANOMALY,None,0.0,Filter,0.023733
5332885420572699008,ANOMALY,None,0.0,Filter,0.01582
5251781010487942400,ANOMALY,None,0.0,Filter,0.002435
6034718432901204608,ANOMALY,None,0.0,Filter,0.01343
4204111768280315264,ANOMALY,None,0.0,Filter,0.00673
5666978518350183936,ANOMALY,None,0.0,Filter,0.021379
6691688072282297984,ANOMALY,None,0.0,Filter,0.008968
5309183591999073792,ANOMALY,None,0.0,Filter,0.003293
4049315889898430976,ANOMALY,None,0.0,Filter,0.003303
4148983114266448128,ANOMALY,None,0.0,Filter,0.002037
5868415890470226304,ANOMALY,None,0.0,Filter,0.008606
4077364053569236736,ANOMALY,None,0.0,Filter,0.012055
5343655480574787968,ANOMALY,None,0.0,Filter,0.020726
4658012811414018048,ANOMALY,None,0.0,Filter,0.027581
4536166650687975296,ANOMALY,None,0.0,Filter,0.018655
5335789982409084800,ANOMALY,None,0.0,Filter,0.014521
6019265415450886144,ANOMALY,None,0.0,Filter,0.015721
5423094027424103424,ANOMALY,None,0.0,Filter,0.001749
409208510981510144,ANOMALY,None,0.0,Filter,0.023826
4044382106334623360,ANOMALY,None,0.0,Filter,0.01514
6769362517175121024,ANOMALY,None,0.0,Filter,0.002895
3140926011818043008,ANOMALY,None,0.0,Filter,0.344083
5960898871505471744,ANOMALY,None,0.0,Filter,0.007227
4656981258997957760,ANOMALY,None,0.0,Filter,0.022205
4105665379840642816,ANOMALY,None,0.0,Filter,0.002958
4656955424728508800,ANOMALY,None,0.0,Filter,0.003464
4312109270704862592,ANOMALY,None,0.0,Filter,0.017791
4118231492128276480,ANOMALY,None,0.0,Filter,0.01749
5883992293774177792,ANOMALY,None,0.0,Filter,0.003492
4152299310045345536,ANOMALY,None,0.0,Filter,0.021148
4091800366436354432,ANOMALY,None,0.0,Filter,0.007832
1821042532708770048,ANOMALY,None,0.0,Filter,0.009061
2025293275884904832,ANOMALY,None,0.0,Filter,0.013764
4272377868271080064,ANOMALY,None,0.0,Filter,0.002779
4658276419294244736,ANOMALY,None,0.0,Filter,0.001292
5956408294211667584,ANOMALY,None,0.0,Filter,0.002248
5816132635074969856,ANOMALY,None,0.0,Filter,0.007566
2087608956338321152,ANOMALY,None,0.0,Filter,0.009734
3058067365302966400,ANOMALY,None,0.0,Filter,0.004262
6251122971444550144,ANOMALY,None,0.0,Filter,0.002263
140213163043486720,ANOMALY,None,0.0,Filter,0.010506
