id,status,pred_label,confidence,stage,filter_score
6023246162930666240,ANOMALY,None,0.0,Filter,0.012712
4185765523424777856,ANOMALY,None,0.0,Filter,0.001707
4255873271061519360,ANOMALY,None,0.0,Filter,0.000104
5982444317242162432,ANOMALY,None,0.0,Filter,0.002745
4048833925948798464,ANOMALY,None,0.0,Filter,0.003837
2029710701254563840,ANOMALY,None,0.0,Filter,0.004708
4037681064015540608,ANOMALY,None,0.0,Filter,0.012682
6223156274716156160,ANOMALY,None,0.0,Filter,0.051508
5413576208105358848,ANOMALY,None,0.0,Filter,0.012743
5593172224092234368,ANOMALY,None,0.0,Filter,0.037547
4210877887956736256,ANOMALY,None,0.0,Filter,0.023651
5301486976241667328,ANOMALY,None,0.0,Filter,0.003367
2102755210044030592,ANOMALY,None,0.0,Filter,0.038688
5920765150874347264,ANOMALY,None,0.0,Filter,0.033229
4085477968330216576,ANOMALY,None,0.0,Filter,0.006373
4107563171296983680,ANOMALY,None,0.0,Filter,0.013865
5911298561915757824,ANOMALY,None,0.0,Filter,0.003522
5977390858792669440,ANOMALY,None,0.0,Filter,0.004044
6069642633043218432,ANOMALY,None,0.0,Filter,0.003392
4077123982156634240,ANOMALY,None,0.0,Filter,0.003682
6028407717226643968,ANOMALY,None,0.0,Filter,0.037435
4038841358084757504,ANOMALY,None,0.0,Filter,0.014126
3351705586320792576,ANOMALY,None,0.0,Filter,0.013865
5644148812979434112,ANOMALY,None,0.0,Filter,0.039234
4254207029930875264,ANOMALY,None,0.0,Filter,0.014194
4152384728363531008,ANOMALY,None,0.0,Filter,0.002973
6475966124294785152,ANOMALY,None,0.0,Filter,0.005825
1978630449030403712,ANOMALY,None,0.0,Filter,0.007523
5953427621310361728,ANOMALY,None,0.0,Filter,0.003398
5709751758352699776,ANOMALY,None,0.0,Filter,0.021202
2008852484631512448,ANOMALY,None,0.0,Filter,0.000255
1760835921623909504,ANOMALY,None,0.0,Filter,0.003705
6761156213379123072,ANOMALY,None,0.0,Filter,0.003375
4093533089329797248,ANOMALY,None,0.0,Filter,0.00637
6726338665846230144,ANOMALY,None,0.0,Filter,0.002887
4059239978923964544,ANOMALY,None,0.0,Filter,0.003927
4123991455523848448,ANOMALY,None,0.0,Filter,0.005339
4063996878408030848,ANOMALY,None,0.0,Filter,0.013757
4658316448300354944,ANOMALY,None,0.0,Filter,0.00876
3068651539114943872,ANOMALY,None,0.0,Filter,0.006956
5853099899719977472,ANOMALY,None,0.0,Filter,0.027119
959983022392603264,ANOMALY,None,0.0,Filter,0.005832
2022241650061741568,ANOMALY,None,0.0,Filter,0.020133
4123169261410234624,ANOMALY,None,0.0,Filter,8.4e-05
2005495606922657408,ANOMALY,None,0.0,Filter,0.003048
5486874871591865600,ANOMALY,None,0.0,Filter,0.02376
4661066120737911552,ANOMALY,None,0.0,Filter,0.009867
5999250936562146432,ANOMALY,None,0.0,Filter,0.00221
4120961888629766272,ANOMALY,None,0.0,Filter,0.002735
5904733377993991808,ANOMALY,None,0.0,Filter,0.002655
2166875945055641856,ANOMALY,None,0.0,Filter,8.3e-05
5338204445501105152,ANOMALY,None,0.0,Filter,0.013881
5339731426629106432,ANOMALY,None,0.0,Filter,0.003601
5930375913338649088,ANOMALY,None,0.0,Filter,0.011352
2127994739983314688,ANOMALY,None,0.0,Filter,0.009845
6746330222474659328,ANOMALY,None,0.0,Filter,0.007721
6097469451277572224,ANOMALY,None,0.0,Filter,0.003635
4052578175258345600,ANOMALY,None,0.0,Filter,0.000827
4052031580687783552,ANOMALY,None,0.0,Filter,0.010875
275540366998082048,ANOMALY,None,0.0,Filter,8e-05
5846155315472674944,ANOMALY,None,0.0,Filter,0.023852
5404332270271924992,ANOMALY,None,0.0,Filter,0.012516
4038102108254496512,ANOMALY,None,0.0,Filter,0.010135
4658496355907044864,ANOMALY,None,0.0,Filter,0.013557
6713542893109283584,ANOMALY,None,0.0,Filter,0.026408
4655487538082104064,ANOMALY,None,0.0,Filter,0.003091
4130044919827792512,ANOMALY,None,0.0,Filter,0.03505
5588422368214852224,ANOMALY,None,0.0,Filter,0.004382
4165733074388125568,ANOMALY,None,0.0,Filter,0.003798
4059805574473289088,ANOMALY,None,0.0,Filter,0.017375
6268757523043950080,ANOMALY,None,0.0,Filter,0.003274
5255795391865495936,ANOMALY,None,0.0,Filter,0.000166
4655282174229243904,ANOMALY,None,0.0,Filter,0.00315
5898218118761677056,ANOMALY,None,0.0,Filter,0.013154
4253351060156861312,ANOMALY,None,0.0,Filter,0.00739
6705031367449429120,ANOMALY,None,0.0,Filter,0.139426
5850870330599477632,ANOMALY,None,0.0,Filter,0.020316
4043867878676527232,ANOMALY,None,0.0,Filter,0.002633
2048472080471671296,ANOMALY,None,0.0,Filter,0.00449
5927987980235367424,ANOMALY,None,0.0,Filter,0.002746
456849662629074688,ANOMALY,None,0.0,Filter,0.01022
5861555144099599616,ANOMALY,None,0.0,Filter,0.019992
1978465487947540608,ANOMALY,None,0.0,Filter,0.018055
4656969507973155584,ANOMALY,None,0.0,Filter,0.002365
5341228274283990784,ANOMALY,None,0.0,Filter,0.003206
5461700801250648320,ANOMALY,None,0.0,Filter,0.00011
6026367161093043456,ANOMALY,None,0.0,Filter,0.01717
5938029510655534976,ANOMALY,None,0.0,Filter,0.021994
2093145203544205952,ANOMALY,None,0.0,Filter,0.003306
4130763966063767936,ANOMALY,None,0.0,Filter,0.002804
5783776722287105408,ANOMALY,None,0.0,Filter,0.002554
285371718934512128,ANOMALY,None,0.0,Filter,0.002947
4073613168427939328,ANOMALY,None,0.0,Filter,0.003434
5874109024276335232,ANOMALY,None,0.0,Filter,0.016115
2045626716188333824,ANOMALY,None,0.0,Filter,0.002805
1865115665987698816,ANOMALY,None,0.0,Filter,0.025345
4203225768107069184,ANOMALY,None,0.0,Filter,0.003916
2181975057186946688,ANOMALY,None,0.0,Filter,0.016702
4478423632903920000,ANOMALY,None,0.0,Filter,0.013952
6028762103607053056,ANOMALY,None,0.0,Filter,0.001729
3393947036348514176,ANOMALY,None,0.0,Filter,0.012172
6200477988402546048,ANOMALY,None,0.0,Filter,0.007775
5857428230252685440,ANOMALY,None,0.0,Filter,0.029015
4657025102079650816,ANOMALY,None,0.0,Filter,0.009049
5238130569334929408,ANOMALY,None,0.0,Filter,0.017891
5236162035500677504,ANOMALY,None,0.0,Filter,0.020007
4098674100785320576,ANOMALY,None,0.0,Filter,0.018616
5328630894686267776,ANOMALY,None,0.0,Filter,0.003591
4664015831248022784,ANOMALY,None,0.0,Filter,0.003701
4658292156058789632,ANOMALY,None,0.0,Filter,0.002442
4179246175375004416,ANOMALY,None,0.0,Filter,0.036486
4037627875132145152,ANOMALY,None,0.0,Filter,0.017609
2091147562710842880,ANOMALY,None,0.0,Filter,0.020823
5520218356277544960,ANOMALY,None,0.0,Filter,0.004205
5792684896787267456,ANOMALY,None,0.0,Filter,0.00181
457395810664391936,ANOMALY,None,0.0,Filter,0.004531
4039479830687757184,ANOMALY,None,0.0,Filter,0.01248
5934704175221715968,ANOMALY,None,0.0,Filter,0.015655
4071919615587570432,ANOMALY,None,0.0,Filter,0.003225
5858978369945841408,ANOMALY,None,0.0,Filter,0.005206
4161446765778967552,ANOMALY,None,0.0,Filter,0.00323
5848156632823400448,ANOMALY,None,0.0,Filter,0.014022
4655280181364113664,ANOMALY,None,0.0,Filter,0.004076
5956027141607059200,ANOMALY,None,0.0,Filter,0.020029
5352966694768081280,ANOMALY,None,0.0,Filter,0.002911
6731045675116078208,ANOMALY,None,0.0,Filter,0.013852
5931227278959020800,ANOMALY,None,0.0,Filter,0.019077
457337673986069376,ANOMALY,None,0.0,Filter,0.028416
6734416812171627136,ANOMALY,None,0.0,Filter,0.02142
4077597493724546560,ANOMALY,None,0.0,Filter,0.011659
5952258492526652160,ANOMALY,None,0.0,Filter,0.002765
5878660315162742656,ANOMALY,None,0.0,Filter,0.021114
5833419363094675712,ANOMALY,None,0.0,Filter,0.01514
2934024689704686464,ANOMALY,None,0.0,Filter,0.005613
5877974907122597632,ANOMALY,None,0.0,Filter,0.012974
4044320705520656384,ANOMALY,None,0.0,Filter,0.032197
5858941261425269248,ANOMALY,None,0.0,Filter,0.016788
5311737276473215104,ANOMALY,None,0.0,Filter,0.017713
5341931858651868672,ANOMALY,None,0.0,Filter,0.018045
4058595080830574464,ANOMALY,None,0.0,Filter,7.8e-05
5851240728580082048,ANOMALY,None,0.0,Filter,0.002351
4041609687955471488,ANOMALY,None,0.0,Filter,0.022596
4083880446667094016,ANOMALY,None,0.0,Filter,0.003159
5906682846475526016,ANOMALY,None,0.0,Filter,0.020261
4100160881023807616,ANOMALY,None,0.0,Filter,0.002149
4483672082926434048,ANOMALY,None,0.0,Filter,0.003112
941983295492411136,ANOMALY,None,0.0,Filter,0.003035
5957991213064227200,ANOMALY,None,0.0,Filter,0.002827
6082506094466015616,ANOMALY,None,0.0,Filter,0.007066
4506736263470324608,ANOMALY,None,0.0,Filter,0.001514
5849362384730484608,ANOMALY,None,0.0,Filter,0.018524
5957783680254236800,ANOMALY,None,0.0,Filter,0.004036
4071493142520785408,ANOMALY,None,0.0,Filter,0.002103
1935579002525407360,ANOMALY,None,0.0,Filter,0.016416
4265349858776388480,ANOMALY,None,0.0,Filter,0.003227
4254226408759148288,ANOMALY,None,0.0,Filter,0.021085
5932498829832919936,ANOMALY,None,0.0,Filter,0.003813
5532724854369770112,ANOMALY,None,0.0,Filter,0.001811
5223070803379805056,ANOMALY,None,0.0,Filter,0.003693
1822962932823316736,ANOMALY,None,0.0,Filter,0.003569
4269231100403602688,ANOMALY,None,0.0,Filter,0.019216
4106984553283475712,ANOMALY,None,0.0,Filter,0.008103
6013234010049216896,ANOMALY,None,0.0,Filter,0.00159
6421467146838498048,ANOMALY,None,0.0,Filter,0.014055
5874464613163669632,ANOMALY,None,0.0,Filter,0.002446
5861768861639614464,ANOMALY,None,0.0,Filter,0.018149
6023616011160609280,ANOMALY,None,0.0,Filter,0.004632
4076485475048646272,ANOMALY,None,0.0,Filter,0.019984
4267637736256571392,ANOMALY,None,0.0,Filter,0.006543
4042095603246499456,ANOMALY,None,0.0,Filter,0.016309
5954715630414825216,ANOMALY,None,0.0,Filter,0.004685
